Nama Budaya,Jenis,Deskripsi,Daerah Asal,Rating,Provinsi
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,3.9,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,3.7,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,4.9,Jawa Timur
Reog Ponorogo,Kesenian,Tari tradisional dengan topeng singa barong besar.,Ponorogo,4,Jawa Timur
Ludruk,Teater,Pertunjukan teater rakyat yang mengangkat cerita kehidupan sehari-hari.,Surabaya,4.5,Jawa Timur
Batik Madura,Kerajinan,Batik khas Madura dengan warna-warna cerah dan motif berani.,Madura,4.6,Jawa Timur
Rujak Cingur,Kuliner,Makanan khas Surabaya yang menggunakan irisan moncong sapi.,Surabaya,4.9,Jawa Timur
Karapan Sapi,Tradisi,Balap sapi tradisional yang populer di Madura.,Madura,4.8,Jawa Timur
Tari Remo,Tari,Tarian penyambutan tamu kehormatan dengan gerakan dinamis.,Jombang,4.4,Jawa Timur
Sate Madura,Kuliner,Sate ayam khas Madura dengan bumbu kacang kental.,Madura,4.6,Jawa Timur
Sego Tempong,Kuliner,Nasi pedas khas Banyuwangi dengan sambal terasi.,Banyuwangi,5,Jawa Timur
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.1,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.4,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.1,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.6,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.6,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.1,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.7,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.6,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.3,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.9,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.6,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.7,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.7,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.5,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.9,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.8,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.7,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.1,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.7,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.3,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.7,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.9,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.1,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.9,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.5,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.1,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.6,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.2,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.1,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.2,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.6,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.1,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.2,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.6,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.4,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.8,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.5,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.2,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.8,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.2,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.9,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.2,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.7,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.7,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.1,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.6,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.7,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.5,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.1,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.6,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.6,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,5,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.9,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.6,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,5,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.8,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.6,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.2,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.1,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.2,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.3,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.6,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.3,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.8,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.2,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.6,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.1,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.7,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.8,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.9,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.4,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.7,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.6,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.3,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.9,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.8,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.8,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.9,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.8,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,5,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.1,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,3.8,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,3.8,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.5,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.6,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.2,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.9,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.5,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.6,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.5,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.3,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.7,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.8,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,3.5,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.4,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.5,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.5,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.6,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.9,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.7,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.9,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.7,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.8,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.8,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.9,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.2,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.4,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.3,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,4.9,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,4.5,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.6,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.9,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.2,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.9,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,3.7,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,3.9,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.6,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.6,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,3.7,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.8,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4.7,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.3,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.2,Jawa Tengah
Wayang Kulit,Kesenian,Pertunjukan bayangan dengan boneka kulit.,Surakarta,4.9,Jawa Tengah
Gamelan,Musik,Ansambel musik tradisional dengan gong dan saron.,Solo,3.8,Jawa Tengah
Batik Pekalongan,Kerajinan,Motif batik khas dari Pekalongan.,Pekalongan,3.9,Jawa Tengah
Lumpia,Kuliner,Makanan khas Semarang berisi rebung dan daging.,Semarang,4.3,Jawa Tengah
Dugderan,Tradisi,Festival penyambutan Ramadan di Semarang.,Semarang,4.3,Jawa Tengah
Ebeg,Tari,Tarian kuda lumping dengan unsur magis.,Banyumas,4,Jawa Tengah
Tari Gambyong,Tari,Tarian khas untuk menyambut tamu kehormatan.,Surakarta,4.1,Jawa Tengah
Jamu Gendong,Kuliner,Minuman herbal tradisional yang dijajakan dengan pikulan.,Solo,4.3,Jawa Tengah
Angklung,Musik,Alat musik bambu khas Sunda yang dimainkan dengan digetarkan.,Bandung,4.5,Jawa Barat
